Original_SMILES,R1,R2,R3,R4,potency
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1COC1,C1OCC1N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],< 20 nM 
NC1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(CC#N)=CN3N=C2N)C=NC=C1,NC1CCN([*:1])CC1,[H][*:2],N#CC[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
CC(C)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CC(C)N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1C1CC1,CN1CCN([*:1])CC1,C1CC1[*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CN=C1,c1cn([*:1])cn1,[H][*:2],F[*:3],[H][*:4],Inactive
CNCCC1=CN(N=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CNCCc1cnn([*:1])c1,[H][*:2],F[*:3],[H][*:4],Inactive
CN(C)CCC1=CN(N=C1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CN(C)CCc1cnn([*:1])c1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)[C@@H]1CCOC1,C1C[C@@H](N2CCN([*:1])CC2)CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CCOCC1,C1CC(N2CCN([*:1])CC2)CCO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)[C@H]1CCOC1,C1C[C@H](N2CCN([*:1])CC2)CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C2COC2)C(F)=CN=C1,C1OCC1N1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],< 20 nM 
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1F,CN1CCN([*:1])CC1,F[*:2],Cl[*:3],[H][*:4],Inactive
CN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1F,CN1CCN([*:1])CC1,F[*:2],F[*:3],[H][*:4],Inactive
CC1=CN=CC(NC(=O)C2=C3N=CC(F)=CN3N=C2N)=C1N1CCN(CC1)C1COC1,C1OCC1N1CCN([*:1])CC1,C[*:2],F[*:3],[H][*:4],Inactive
CCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,CCN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC1CC2,C1CN2CCC1N([*:1])CC2,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CCOC1,C1CC(N2CCN([*:1])CC2)CO1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC(F)(F)F)CC1,FC(F)(F)CN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN2CCC[C@H]2C1,C1C[C@H]2CN([*:1])CCN2C1,[H][*:2],F[*:3],[H][*:4],Inactive
COCCN1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,COCCN1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
C[C@@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C1COC1,C[C@@H]1CN(C2COC2)CCN1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
C[C@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C1COC1,C[C@H]1CN(C2COC2)CCN1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
C[C@@H]1CN(CCN1C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1)C1(C)COC1,C[C@@H]1CN(C2(C)COC2)CCN1[*:1],[H][*:2],Cl[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CC=N1,c1cnn([*:1])c1,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=NC(=C1)C(F)(F)F,FC(F)(F)c1cn([*:1])cn1,[H][*:2],F[*:3],[H][*:4],Inactive
CC1=NC=CN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1,Cc1nccn1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(Cl)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1C=CN=C1,c1cn([*:1])cn1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CC1=NC(=CN1C1=C(NC(=O)C2=C3N=CC(F)=CN3N=C2N)C=NC=C1)C(F)(F)F,Cc1nc(C(F)(F)F)cn1[*:1],[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(C2CC12)C1COC1,C1OCC1N1CCN([*:1])C2CC21,[H][*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(N2CCN(CC2)C2COC2)C(=CN=C1)C1CC1,C1OCC1N1CCN([*:1])CC1,C1CC1[*:2],F[*:3],[H][*:4],Inactive
NC1=NN2C=C(F)C=NC2=C1C(=O)NC1=C(C=CN=C1)N1CCN(CC1)C1CC1,C1CC1N1CCN([*:1])CC1,[H][*:2],F[*:3],[H][*:4],Inactive
CC(C)(C)N1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CC(C)(C)N1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)[C@H]1CCN(C[C@@H]1O)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)[C@H]1CCN([*:1])C[C@@H]1O,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)CC1(O)CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)CC1(O)CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
CN(C)C1CCN(CC1)C1=C(NC(=O)C2=C3N=CC(Cl)=CN3N=C2N)C=NC=C1,CN(C)C1CCN([*:1])CC1,[H][*:2],Cl[*:3],[H][*:4],Inactive
